word,hook_kind,hook_text
Abase,sound_spelling,Being brought to your base (low point) can be humiliating.
Abate,sound_spelling,If you don't use bait you reduce your odds in fishing.
Abdicate,morphology,"""ab-"" (away) + ""dic-"" (speak) + ""-ate"" (verb) = to formally speak away your power."
Abduct,morphology,"""ab-"" (away) + ""duct"" (lead) = to lead away."
Aberration,morphology,"""ab-"" (away) + ""err"" (wander) = wandering away from what is normal."
Abet,sound_spelling,A bet placed on someone encourages them to succeed.
Abhor,sound_spelling,A horror - you hate it and shrink away from it.
Abide,sound_spelling,"You bide your time, enduring or putting up with the situation."
Abject,morphology,"""ab-"" (away) + ""ject"" (throw) = thrown away into a wretched state."
Abjure,morphology,"""ab-"" (away) + ""jur"" (swear) = to swear away or legally renounce."
Abnegation,morphology,"""ab-"" (away) + ""neg"" (deny) = the act of denying yourself something."
Abort,,
Abridge,sound_spelling,"A bridge connects two points, making the journey shorter."
Abrogate,sound_spelling,A broken gate means the security rules have been abolished or repealed.
Abscond,sound_spelling,Abscond with the scones - running away secretly with the stolen goods.
Absolution,sound_spelling,The absolute solution to guilt is being forgiven completely.
Abstain,sound_spelling,You abstain from wine so it doesn't stain your shirt.
Abstruse,sound_spelling,Sounds like obstructs - the complex meaning obstructs your understanding.
Accede,morphology,"""ac-"" (toward) + ""cede"" (yield) = to yield toward an agreement."
Accentuate,,
Accessible,,
Acclaim,morphology,"""ac-"" (toward) + ""claim"" (shout) = shouting praise toward someone."
Accolade,etymology_story,"From Latin ""ad"" (to) + ""collum"" (neck). Originally a ceremonial embrace around the neck when conferring knighthood."
Accommodating,,
Accord,morphology,"""ac-"" (toward) + ""cord"" (heart) = hearts moving toward agreement."
Accost,etymology_story,"From Latin ""ad costam"" (to the rib/side). To aggressively come right up to someone's side and confront them."
Accretion,sound_spelling,A creation built up gradually layer by layer.
Acerbic,sound_spelling,An acerbic comment is acidic and bites.
Acquiesce,sound_spelling,Acquire quiet - you stay quiet and just agree to it.
Acrimony,sound_spelling,A crime on me - leaves you with bitterness and ill will.
Acumen,sound_spelling,IQ men - men with high IQs have great mental sharpness.
Acute,sound_spelling,A cute angle is sharp and precise.
Adamant,etymology_story,"From Greek adamas, meaning ""uncuttable"" (the same root as diamond). Unyielding and unbreakable."
Adept,sound_spelling,A depth of knowledge makes you highly skilled.
Adhere,morphology,"""ad-"" (to) + ""haerere"" (stick) = to stick to."
Admonish,morphology,"""ad-"" (to) + ""monere"" (warn) = to give a warning to."
Adorn,,
Adroit,etymology_story,"From French à droit meaning ""to the right."" The right hand was historically considered the skilled and dexterous one."
Adulation,sound_spelling,Adult infatuation - excessive flattery and worship.
Adumbrate,morphology,"""ad-"" (toward) + ""umbr"" (shadow) = to cast a shadow over, or outline vaguely."
Adverse,morphology,"""ad-"" (against) + ""vers"" (turn) = turned against you; hostile."
Advocate,morphology,"""ad-"" (toward) + ""voc"" (voice) = to add your voice toward a cause."
Aerial,,
Aesthetic,,
Affable,sound_spelling,A fable - the grandpa telling a fable is friendly and easy to talk to.
Affinity,sound_spelling,"Infinity - an infinite, natural connection or liking for something."
Affluent,morphology,"""af-"" (toward) + ""flu"" (flow) = wealth flowing toward you."
Affront,sound_spelling,In front - an insult right in front of your face.
Aggrandize,sound_spelling,To make something grander.
Aggregate,morphology,"""ag-"" (toward) + ""greg"" (flock) = to bring the flock together into a whole."
Aggrieved,sound_spelling,You feel aggrieved when someone causes you grief.
Agile,,
Agnostic,morphology,"""a-"" (without) + ""gnos"" (knowledge) = claiming to be without knowledge (usually of God)."
Agriculture,,
Aisle,,
Alacrity,sound_spelling,Sounds like electricity - moving with electric speed and readiness.
Alias,,
Allay,sound_spelling,To lay a baby down soothes and calms it.
Allege,,
Alleviate,morphology,"""ad-"" (to) + ""lev"" (light) = to make something lighter or less severe."
Allocate,,
Aloof,sound_spelling,"A roof - sitting alone on a roof, emotionally detached from everyone below."
Altercation,sound_spelling,"When things alter (change) for the worse, a noisy argument starts."
Amalgamate,sound_spelling,A mall - a mall brings many different stores together into one place.
Ambiguous,morphology,"""ambi-"" (both) + ""agere"" (drive) = driven in two directions, unclear."
Ambivalent,morphology,"""ambi-"" (both) + ""val"" (strength/feeling) = having strong feelings in both directions."
Ameliorate,sound_spelling,A million rate - taking a bad rating and improving it to a million.
Amenable,sound_spelling,"Amen-able - someone who frequently says ""amen"" (yes) and is easily persuaded."
Amenity,,
Amiable,morphology,"""am-"" (love/friend) = friendly and pleasant (used for people)."
Amicable,morphology,"""am-"" (love/friend) = friendly and peaceful (used for agreements/situations)."
Amorous,morphology,"""am-"" (love) + ""-ous"" (full of) = full of romantic love."
Amorphous,morphology,"""a-"" (without) + ""morph"" (shape) = without definite shape."
Anachronistic,morphology,"""ana-"" (backward/against) + ""chron"" (time) = placed in the wrong time period."
Analgesic,morphology,"""an-"" (without) + ""alg"" (pain) = medicine that takes away pain."
Analogous,,
Anarchist,morphology,"""an-"" (without) + ""arch"" (ruler) = one who believes in no government."
Anathema,sound_spelling,A nasty asthma - something you vehemently despise and avoid.
Anecdote,,
Anesthesia,morphology,"""an-"" (without) + ""esthes"" (feeling) = without physical sensation."
Anguish,,
Animated,morphology,"""anima"" (soul/life) = full of life."
Annex,,
Annul,sound_spelling,A null - making a contract legally null and void.
